,Cluster,first_name,last_name,email,gender,University,Age,Class_Graduation_Year,Lease_Term,Major,Sports,Gaming,Coding,Outdoors,Movies,Art,Anime,Foodie,Music,Travel,Interest_1,Interest_2,Interest_3
0,1,Cash,Foxley,cfoxley0@i2i.jp,Male,PU,22,2025,12,Nursing,0,0,1,0,1,0,0,0,0,1,Movies,Travel,Coding
1,2,Rooney,Gitthouse,rgitthouse1@cpanel.net,Male,UIUC,41,2022,6,Nursing,0,0,0,0,1,0,1,0,1,0,Music,Anime,Movies
2,0,Roseanne,Graffham,rgraffham2@tumblr.com,Genderfluid,UMAA,22,2024,12,Engineering,0,0,0,1,0,0,0,1,1,0,Outdoors,Music,Foodie
3,1,Conny,Flintoff,cflintoff3@theglobeandmail.com,Agender,GT,25,2023,6,Engineering,1,0,1,0,0,0,0,0,1,0,Sports,Coding,Music
4,1,Grove,Szymanek,gszymanek4@phoca.cz,Male,UCLA,30,2025,6,Computer Science,1,0,1,0,0,0,0,1,0,0,Sports,Coding,Foodie
5,2,Zabrina,Duval,zduval5@nasa.gov,Female,UW,34,2025,6,Computer Science,0,0,0,0,0,0,1,1,1,0,Music,Foodie,Anime
6,8,Jamie,Canfer,jcanfer6@phoca.cz,Male,CIT,38,2026,12,Nursing,0,1,1,0,0,0,0,0,0,1,Travel,Gaming,Coding
7,1,Shurlocke,Kiehl,skiehl7@xing.com,Male,GT,31,2026,6,Engineering,1,0,0,1,1,0,0,0,0,0,Movies,Sports,Outdoors
8,6,Hinze,Domoni,hdomoni8@joomla.org,Male,PU,47,2026,12,Nursing,0,0,1,1,0,0,0,0,1,0,Music,Coding,Outdoors
9,1,Jeane,Baybutt,jbaybutt9@hugedomains.com,Female,UTA,18,2025,6,Computer Science,1,0,1,0,0,0,0,1,0,0,Sports,Coding,Foodie
10,2,Stevy,Benaine,sbenainea@ucoz.ru,Male,SU,29,2022,6,Other,0,0,0,0,0,1,0,0,1,1,Art,Music,Travel
11,7,Jeremias,Salomon,jsalomonb@accuweather.com,Male,UMAA,26,2022,12,Engineering,0,0,0,0,1,0,1,0,0,1,Movies,Anime,Travel
12,8,Cristionna,Vear,cvearc@tripod.com,Female,UWM,29,2022,12,Biology,0,1,1,0,1,0,0,0,0,0,Movies,Coding,Gaming
13,8,Flint,Zarfat,fzarfatd@sogou.com,Non-binary,UIUC,36,2022,12,General Studies,0,0,1,0,0,0,0,0,1,1,Travel,Music,Coding
14,6,Staci,McLaren,smclarene@indiatimes.com,Polygender,UWM,38,2026,12,Biology,0,0,1,1,0,0,0,0,1,0,Coding,Outdoors,Music
15,1,Elliott,Newart,enewartf@illinois.edu,Male,UMAA,34,2022,12,Nursing,0,0,1,0,1,0,1,0,0,0,Anime,Coding,Movies
16,8,Morty,Ech,mechg@fastcompany.com,Male,UIUC,48,2022,12,Business,0,1,1,0,0,0,0,0,0,1,Travel,Coding,Gaming
17,4,Mada,Piscopello,mpiscopelloh@amazon.de,Genderfluid,HU,33,2023,6,Accounting,1,0,0,0,0,0,0,1,1,0,Music,Sports,Foodie
18,0,Reeba,Zamudio,rzamudioi@amazon.co.uk,Female,UTA,27,2024,6,Computer Science,0,0,0,0,0,1,0,1,0,1,Travel,Foodie,Art
19,0,Selig,Mosedill,smosedillj@cisco.com,Genderqueer,UIUC,34,2024,6,Liberal Arts,0,0,0,0,1,0,0,1,0,1,Travel,Movies,Foodie
20,2,Trisha,Frood,tfroodk@mlb.com,Female,CMU,22,2023,6,Business,0,0,0,0,1,0,1,0,1,0,Anime,Music,Movies
21,3,Margareta,Lovejoy,mlovejoyl@virginia.edu,Bigender,CMU,44,2024,12,Business,0,0,0,0,1,1,0,0,0,1,Travel,Art,Movies
22,7,Modestine,Bussy,mbussym@imdb.com,Female,HU,23,2024,12,Nursing,0,1,0,0,1,0,0,0,0,1,Gaming,Travel,Movies
23,1,Gawain,Tonna,gtonnan@ameblo.jp,Male,UMAA,29,2026,12,General Studies,1,0,1,0,0,0,0,1,0,0,Coding,Foodie,Sports
24,8,Max,Sutor,msutoro@weather.com,Male,JHU,44,2022,6,Nursing,0,1,1,0,0,1,0,0,0,0,Art,Gaming,Coding
25,8,Shay,Westrip,swestripp@nationalgeographic.com,Male,UIUC,46,2022,6,Computer Science,0,1,1,0,0,0,0,0,0,1,Gaming,Coding,Travel
26,0,Kamila,Weigh,kweighq@4shared.com,Female,HU,20,2022,12,Engineering,0,0,0,1,1,0,0,0,0,1,Outdoors,Travel,Movies
27,0,Bessy,Aughtie,baughtier@tinyurl.com,Female,JHU,29,2026,6,Engineering,0,1,0,0,0,0,0,1,0,1,Travel,Gaming,Foodie
